,Train_y
117,2.394675219
232,4.445119368
121,1.764545016
214,1.877856648
296,2.499012099
246,1.4732924019999998
324,3.5364297110000003
252,1.181742199
307,3.15667703
326,4.237294653
467,2.673270551
291,2.064914881
124,2.431759403
406,3.284273531
10,2.471521516
317,3.905844067
54,2.010314916
434,3.861000384
369,2.543518761
140,3.394040533
436,2.265337832
29,3.494849561
130,2.727091086
60,2.256862308
205,1.340730214
14,3.1519871110000004
366,2.509067083
470,3.209867768
288,2.212743075
353,2.699965226
280,3.4724311510000003
184,3.47548716
188,3.548493992
490,2.34048632
192,3.599610204
236,3.650898663
285,2.7165587710000003
157,2.838879963
49,1.971687553
341,3.5687803610000004
204,1.834980237
150,4.35122775
297,2.514059206
264,2.230262548
493,2.800341914
415,2.920320938
190,3.710979937
161,1.607676768
74,4.124747679
144,3.80028487
169,2.095240949
99,2.692944977
443,2.12900363
15,3.31703697
43,4.592186842
375,2.79389881
368,2.658222598
492,2.394245074
58,2.337210503
389,3.274303027
167,1.067064449
220,2.872647422
174,2.317696847
267,2.769924124
75,3.921272678
147,3.79271298
459,2.033270559
496,2.515517443
255,1.301176996
6,2.800573123
152,4.462953299
226,3.189532925
215,1.804273135
98,2.692944977
248,0.8274340929999999
276,3.777246097
105,3.05980589
183,3.177005106
244,2.838830118
249,1.181742199
118,1.764545016
206,1.7792835319999998
112,2.308897905
16,3.447732143
413,1.973031222
304,2.284951038
463,2.5752167740000003
19,3.335629034
230,2.846659413
480,2.4994994740000003
382,2.601919208
7,2.3904787990000003
329,2.87052714
160,1.282250297
351,2.579437236
134,2.564110531
461,2.792097666
46,1.480886819
122,2.9503052210000003
423,3.32326654
310,3.277459595
38,3.964074042
453,2.676561678
293,2.499012099
91,2.58508916
472,3.419482265
217,2.317186616
376,2.8387488610000005
123,2.493400653
36,3.928237753
199,1.849098154
422,3.32326654
2,2.052383493
429,3.269603829
391,1.686058281
320,3.942931138
394,2.137100479
47,2.022859034
223,3.178608522
28,3.556291721
200,2.157894737
21,3.472044154
173,2.188270775
20,3.1742461810000004
31,3.749346473
86,4.227800018
63,2.043099174
347,4.398223214
271,3.336656114
363,2.520449316
81,4.363411087
381,2.601919208
229,2.846659413
9,2.471521516
358,2.582324888
322,3.75453739
410,4.102276855
498,3.121191394
170,1.619605887
475,3.127593845
327,4.445289418
309,3.638726139
437,2.421830078
452,2.323079215
51,2.019779518
265,2.776139217
440,2.365207162
477,3.332598927
102,3.398050679
270,2.7830981130000003
18,2.761313662
315,3.905844067
354,2.030384836
349,4.691279511
143,3.394040533
61,2.2165999480000003
393,1.5277076
269,2.866320413
108,3.732378311
155,2.709047658
458,2.050433687
115,2.6093047
433,3.320369402
316,3.905844067
85,4.44757959
365,2.534905931
48,2.071867948
191,3.713705128
360,2.516309208
339,3.535060164
136,3.033585984
474,2.090484512
133,2.453296286
361,2.516309208
497,2.817887787
340,3.535060164
451,2.764654033
