,District,FNCount,FNMinimum,FNMaximum,FNMean,FNStandard Deviation,FNVariance,FNUpper Quartile,FNUpper 1.5 IQR,FNMedian,FNLower 1.5 IQR,FNLower Quartile,Year,Season,Area (Hectare),Production (Tonnes),Yield (Tonnes/Hectare),JNCount,JNMinimum,JNMaximum,JNMean,JNStandard Deviation,JNVariance,JNUpper Quartile,JNUpper 1.5 IQR,JNMedian,JNLower 1.5 IQR,JNLower Quartile,FECount,FEMinimum,FEMaximum,FEMean,FEStandard Deviation,FEVariance,FEUpper Quartile,FEUpper 1.5 IQR,FEMedian,FELower 1.5 IQR,FELower Quartile,JECount,JEMinimum,JEMaximum,JEMean,JEStandard Deviation,JEVariance,JEUpper Quartile,JEUpper 1.5 IQR,JEMedian,JELower 1.5 IQR,JELower Quartile
277,SIROHI,6268,0.0114,0.6911,0.3064471,0.0780603,0.0060934,0.34125,0.4741,0.2899,0.1431,0.2525,2006,Rabi       ,27201,64336,2.365207162,6268,-0.078,0.7604,0.3438794,0.0912292,0.0083228,0.3933,0.5668,0.32585,0.1345,0.2775,6268,0.0036,0.4789,0.1965669,0.0499041,0.0024904,0.2156,0.2931,0.1844,0.1015,0.1638,6268,-0.0195,0.5581,0.2173192,0.0576827,0.0033273,0.2427,0.3396,0.2049,0.0865,0.178
279,SIROHI,6268,0.1535,0.7571,0.364678,0.0954957,0.0091194,0.41715,0.5979,0.3464,0.1535,0.296,2007,Rabi       ,46191,109237,2.364897924,6267,0.0797,0.7704,0.3941596,0.1014779,0.0102978,0.4568,0.662,0.3767,0.137,0.31975,6268,0.0683,0.5117,0.2243089,0.0625764,0.0039158,0.256625,0.3735,0.20935,0.0683,0.1787,6267,0.0261,0.5344,0.2449712,0.0688628,0.0047421,0.2832,0.4171,0.2292,0.0683,0.19365
281,SIROHI,6268,0.125,0.7403,0.3483241,0.0970844,0.0094254,0.400625,0.5828,0.3238,0.125,0.279075,2008,Rabi       ,39349,92695,2.355714249,6268,-0.1001,0.7372,0.3731138,0.0997099,0.0099421,0.434,0.6356,0.3516,0.1224,0.2993,6268,0.0739,0.5523,0.2260045,0.0686684,0.0047153,0.258325,0.3801,0.20495,0.0739,0.1771,6268,-0.0291,0.5523,0.2300994,0.0654791,0.0042875,0.2659,0.3908,0.2124,0.0671,0.1822
283,SIROHI,6268,0.1176,0.6858,0.2853059,0.0746414,0.0055713,0.320025,0.4527,0.267,0.1176,0.2314,2009,Rabi       ,24790,52778,2.12900363,6268,0.1357,0.7545,0.333573,0.0942044,0.0088745,0.379825,0.551,0.3105,0.1357,0.265675,6268,0.0775,0.4729,0.1732009,0.0464579,0.0021583,0.192,0.2679,0.1606,0.0775,0.1414,6268,0.078,0.5274,0.2002163,0.0618517,0.0038256,0.2267,0.3316,0.1821,0.078,0.1567
285,SIROHI,6268,0.1248,0.6269,0.2641637,0.0677419,0.004589,0.2904,0.3992,0.2491,0.1248,0.2177,2010,Rabi       ,18016,44115,2.44865675,6268,0.1223,0.6741,0.2942169,0.0809478,0.0065525,0.329925,0.4693,0.27715,0.1223,0.237,6268,0.0786,0.4307,0.1670104,0.0433871,0.0018824,0.1811,0.2433,0.15625,0.0786,0.1396,6268,0.0572,0.4541,0.1796925,0.0502525,0.0025253,0.1978,0.2735,0.1673,0.0766,0.1473
287,SIROHI,6268,0.1323,0.7728,0.415259,0.097597,0.0095252,0.475725,0.6746,0.3983,0.1539,0.3429,2011,Rabi       ,39045,114373,2.929261109,6267,0.0097,0.7446,0.4432581,0.0962493,0.0092639,0.50875,0.7125,0.4307,0.1844,0.3726,6268,0.0517,0.5618,0.2528032,0.0735793,0.0054139,0.2939,0.4379,0.2357,0.0883,0.1979,6267,0.0033,0.5303,0.2613638,0.0686864,0.0047178,0.30475,0.4463,0.2469,0.0947,0.2103
289,SIROHI,6268,0.1374,0.7239,0.3740339,0.0913745,0.0083493,0.42405,0.5987,0.3538,0.1374,0.307275,2012,Rabi       ,37254,101128,2.714554142,6267,-0.0848,0.7129,0.4029777,0.0906758,0.0082221,0.4595,0.6439,0.3882,0.153,0.33645,6268,0.0533,0.4851,0.2316117,0.0617094,0.0038081,0.260725,0.3706,0.2162,0.0785,0.1873,6267,-0.0311,0.4843,0.2448222,0.0594478,0.003534,0.27665,0.3884,0.2321,0.091,0.2021
291,SIROHI,6268,-0.1434,0.7511,0.3823384,0.0956916,0.0091569,0.4338,0.6127,0.3611,0.1652,0.313275,2013,Rabi       ,35949,99139,2.757767949,6267,-0.0436,0.7341,0.4017424,0.0944627,0.0089232,0.4599,0.6504,0.384,0.1624,0.3328,6268,-0.0469,0.5757,0.2460813,0.0698799,0.0048832,0.2766,0.3962,0.22695,0.0863,0.196675,6267,-0.0128,0.5288,0.252052,0.0634937,0.0040314,0.28715,0.4082,0.2379,0.087,0.20625
293,SIROHI,6268,0.137,0.7211,0.3705217,0.0956197,0.0091431,0.4226,0.6075,0.347,0.137,0.2993,2014,Rabi       ,34035,94095,2.764654033,6268,0.1336,0.751,0.4093598,0.1010003,0.0102011,0.4719,0.6795,0.3892,0.1336,0.3333,6268,0.0904,0.5295,0.2234816,0.0636961,0.0040572,0.25415,0.3707,0.2051,0.0904,0.1763,6268,0.0921,0.508,0.2493732,0.067763,0.0045918,0.286625,0.4191,0.2316,0.0921,0.1983
295,SIROHI,6268,0.1003,0.7008,0.338722,0.0863408,0.0074547,0.3852,0.5487,0.3163,0.134,0.276,2015,Rabi       ,26851,62377,2.323079215,6268,0.1234,0.7449,0.3775898,0.0969003,0.0093897,0.433025,0.6224,0.3533,0.1234,0.306575,6268,0.0348,0.4692,0.2077381,0.0544533,0.0029652,0.2307,0.3222,0.1931,0.1018,0.1696,6268,0.0283,0.4891,0.2302606,0.0616701,0.0038032,0.2589,0.3672,0.214,0.0854,0.186675
297,SIROHI,6268,0.1225,0.7454,0.3712289,0.0973543,0.0094779,0.425,0.6159,0.3486,0.1225,0.2976,2016,Rabi       ,34226,91608,2.676561678,6267,-0.0242,0.7405,0.3974068,0.0985435,0.0097108,0.4574,0.6581,0.3787,0.1416,0.3236,6268,0.0405,0.5149,0.2384831,0.0673435,0.0045351,0.270525,0.3927,0.22155,0.0677,0.1889,6267,-0.0076,0.5235,0.2524717,0.0683767,0.0046754,0.29015,0.423,0.2377,0.0728,0.20155
299,SIROHI,6268,-0.0074,0.7451,0.3753504,0.0889426,0.0079108,0.421725,0.5882,0.35535,0.1739,0.310275,2017,Rabi       ,37509,108650,2.89663814,6267,-0.0342,0.7856,0.4266757,0.0974763,0.0095016,0.48625,0.6843,0.4102,0.1696,0.3537,6268,-0.0025,0.5079,0.2320172,0.0591786,0.0035021,0.2603,0.366,0.21815,0.0876,0.1896,6267,-0.0079,0.5314,0.2533929,0.0655506,0.0042969,0.2879,0.4123,0.2394,0.0904,0.2049
301,SIROHI,6268,0.1296,0.726,0.3917349,0.095774,0.0091727,0.452125,0.6508,0.3726,0.1296,0.3185,2018,Rabi       ,22239,66374,2.984576645,6268,-0.0748,0.7712,0.4445317,0.1111483,0.0123539,0.519025,0.7577,0.4265,0.1243,0.3583,6268,0.0365,0.5246,0.236382,0.0645406,0.0041655,0.274525,0.4074,0.2239,0.0561,0.1858,6268,-0.0146,0.5575,0.2667733,0.0788695,0.0062204,0.31545,0.482,0.25025,0.0377,0.204175
303,SIROHI,6268,0.1347,0.7283,0.3289631,0.0863221,0.0074515,0.3675,0.5132,0.3054,0.1347,0.270175,2019,Rabi       ,29066,87890,3.023807886,6268,0.116,0.715,0.3421013,0.0898279,0.0080691,0.3859,0.5462,0.3183,0.1494,0.2787,6268,0.0734,0.5236,0.210166,0.061766,0.003815,0.234,0.3306,0.19135,0.0734,0.1696,6268,0.0743,0.4939,0.2062686,0.0613512,0.003764,0.2313,0.33,0.1886,0.0743,0.165
305,TONK,8849,-0.1473,0.7146,0.2971253,0.093706,0.0087808,0.3418,0.5085,0.27,0.0756,0.2305,2001,Rabi       ,70478,108495,1.539416556,8848,-0.1889,0.7143,0.3224723,0.1067323,0.0113918,0.3751,0.5687,0.2923,0.0659,0.2459,8849,-0.0279,0.5476,0.2001401,0.0692161,0.0047909,0.232,0.3533,0.1796,0.0303,0.1511,8848,-0.0362,0.528,0.2122949,0.0786968,0.0061932,0.248325,0.3857,0.1888,0.0231,0.1567
307,TONK,8847,-0.1904,0.7474,0.3214814,0.1198692,0.0143686,0.38305,0.6063,0.2837,0.0227,0.2341,2002,Rabi       ,60297,123635,2.050433687,8845,-0.191,0.7494,0.335816,0.1199846,0.0143963,0.3986,0.6245,0.3004,0.0337,0.248,8847,-0.0457,0.5619,0.2166093,0.0847321,0.0071795,0.2589,0.4162,0.1892,-0.0033,0.1539,8845,-0.0375,0.591,0.2257627,0.0888676,0.0078974,0.2684,0.4284,0.1978,0.0021,0.1615
309,TONK,8849,-0.0754,0.7726,0.2390885,0.0854869,0.007308,0.2488,0.3322,0.2149,0.1138,0.1932,2003,Rabi       ,39825,80975,2.033270559,8849,-0.0659,0.7713,0.2492862,0.0803142,0.0064504,0.2617,0.3463,0.2293,0.1227,0.2053,8849,-0.019,0.5769,0.1565428,0.0613911,0.0037689,0.1617,0.2187,0.1394,0.0734,0.1237,8849,-0.0137,0.5858,0.1563949,0.0564647,0.0031883,0.1628,0.2183,0.1396,0.0714,0.1258
311,TONK,8849,-0.1172,0.7222,0.3184317,0.0988815,0.0097776,0.3627,0.5361,0.2889,0.1063,0.2471,2004,Rabi       ,47241,124621,2.637983955,8849,-0.1359,0.7121,0.3380668,0.103463,0.0107046,0.3863,0.5693,0.3089,0.0852,0.2642,8849,-0.014,0.5312,0.2120772,0.0715557,0.0051202,0.243,0.3648,0.191,0.0439,0.1618,8849,-0.0193,0.5603,0.2193476,0.0726649,0.0052802,0.2514,0.3743,0.1986,0.0528,0.1693
313,TONK,8838,-0.1945,0.7635,0.3837545,0.1277332,0.0163158,0.4707,0.7328,0.3658,0.031,0.2948,2005,Rabi       ,60615,169243,2.792097666,8794,-0.2,0.7732,0.4373378,0.1370977,0.0187958,0.533275,0.7732,0.4232,0.0529,0.3377,8838,-0.042,0.5707,0.252313,0.0896029,0.0080287,0.3136,0.5045,0.23665,-0.0046,0.1863,8794,-0.0484,0.6366,0.2886931,0.1036424,0.0107417,0.356475,0.5708,0.271,-0.0049,0.2117
315,TONK,8822,-0.189,0.7505,0.3481455,0.1196195,0.0143088,0.4188,0.6564,0.31705,0.0227,0.2594,2006,Rabi       ,54647,138646,2.537120061,8821,-0.1883,0.7605,0.4072205,0.1318731,0.0173905,0.5013,0.7605,0.385,0.0341,0.3052,8822,-0.0425,0.5639,0.2366077,0.0870124,0.0075712,0.2868,0.462,0.2136,-0.005,0.17,8821,-0.0352,0.5853,0.2750628,0.0995285,0.0099059,0.3415,0.5556,0.2539,-0.0139,0.1978
317,TONK,8813,-0.1981,0.7903,0.3292751,0.1412307,0.0199461,0.4125,0.6878,0.2733,-0.0386,0.2288,2007,Rabi       ,63430,163346,2.575216774,8811,-0.1981,0.7949,0.36404,0.1578029,0.0249018,0.4729,0.7949,0.3124,-0.1093,0.23975,8813,-0.0365,0.5629,0.2131228,0.0935222,0.0087464,0.2668,0.4482,0.1754,-0.033,0.1458,8811,-0.0365,0.6053,0.2445145,0.1139002,0.0129733,0.3204,0.5687,0.2063,-0.0365,0.15455
319,TONK,8835,-0.1914,0.7901,0.3599798,0.1520646,0.0231237,0.46925,0.7901,0.3053,-0.1077,0.23845,2008,Rabi       ,69961,175020,2.501679507,8830,-0.2,0.8222,0.3781871,0.1561186,0.024373,0.4923,0.8222,0.32665,-0.1076,0.2497,8835,-0.0365,0.5986,0.244617,0.1127781,0.0127189,0.32395,0.5681,0.2026,-0.0365,0.1546,8830,-0.0352,0.6409,0.2533196,0.1127342,0.012709,0.330875,0.5833,0.2153,-0.0352,0.1622
321,TONK,8847,-0.2,0.7632,0.3488015,0.1158212,0.0134145,0.4015,0.602,0.315,0.0861,0.2675,2009,Rabi       ,40643,105913,2.605934601,8846,-0.1601,0.7892,0.4213859,0.1265282,0.0160094,0.5019,0.7591,0.4006,0.062,0.325525,8847,-0.0316,0.6299,0.2339979,0.080376,0.0064603,0.2708,0.41,0.2107,0.0428,0.1779,8846,-0.0304,0.5961,0.2778532,0.0947027,0.0089686,0.332475,0.5209,0.2589,0.0224,0.206625
323,TONK,8849,-0.0079,0.7811,0.3224349,0.1145809,0.0131288,0.385,0.617,0.2946,0.0514,0.2303,2010,Rabi       ,39926,106733,2.673270551,8849,-0.1575,0.8151,0.3955518,0.1417165,0.0200836,0.4956,0.8151,0.3786,-0.0671,0.2691,8849,-0.0013,0.5608,0.2032245,0.0797003,0.0063521,0.2429,0.3974,0.1836,-0.0013,0.1399,8849,-0.025,0.6442,0.2572426,0.1054474,0.0111192,0.3272,0.5703,0.2415,-0.025,0.1647
325,TONK,8848,-0.1941,0.7987,0.4889143,0.1161874,0.0134995,0.572625,0.7987,0.48745,0.1518,0.4038,2011,Rabi       ,88632,284497,3.209867768,8843,-0.1847,0.7572,0.4561913,0.1144793,0.0131055,0.5398,0.7572,0.4486,0.115,0.3698,8848,-0.0483,0.6142,0.3175552,0.0870374,0.0075755,0.3779,0.5621,0.31215,0.0719,0.2548,8843,-0.024,0.5757,0.2859418,0.0880799,0.0077581,0.3463,0.5382,0.2747,0.0243,0.2175
327,TONK,8834,-0.1979,0.7366,0.4025371,0.1143472,0.0130753,0.484375,0.7192,0.3928,0.0734,0.3194,2012,Rabi       ,67431,233365,3.460796963,8831,-0.1988,0.7598,0.4640626,0.1292648,0.0167094,0.56485,0.7598,0.4541,0.0754,0.3686,8834,-0.0517,0.5467,0.2643052,0.0783877,0.0061446,0.318275,0.4834,0.25425,0.0406,0.2067,8831,-0.0508,0.5931,0.3147645,0.0993643,0.0098733,0.3881,0.5931,0.3011,0.0175,0.2397
329,TONK,8823,-0.1933,0.7593,0.46207,0.127611,0.0162846,0.5652,0.7593,0.4571,0.0796,0.3651,2013,Rabi       ,61769,211218,3.419482265,8825,-0.1991,0.7793,0.482998,0.1349808,0.0182198,0.5966,0.7793,0.4784,0.0733,0.3815,8823,-0.0629,0.5846,0.3244292,0.0969092,0.0093914,0.4016,0.5846,0.3162,0.0279,0.2499,8825,-0.036,0.6128,0.3368838,0.1077378,0.0116074,0.4213,0.6128,0.3267,0.0039,0.254
331,TONK,8810,-0.1948,0.7787,0.5246291,0.1326979,0.0176087,0.632275,0.7787,0.5415,0.1296,0.431025,2014,Rabi       ,58416,200010,3.423890715,8817,-0.1942,0.8309,0.5312571,0.13599,0.0184933,0.6383,0.8309,0.5505,0.1272,0.4319,8810,-0.027,0.5969,0.3570498,0.1012439,0.0102503,0.4372,0.5969,0.36615,0.0581,0.285525,8817,-0.055,0.6606,0.3521108,0.1159642,0.0134477,0.4498,0.6606,0.3511,-0.0224,0.2606
333,TONK,8833,-0.1958,0.7842,0.4799979,0.1345045,0.0180915,0.5814,0.7842,0.4843,0.0885,0.3791,2015,Rabi       ,66376,138758,2.090484512,8813,-0.1967,0.7853,0.5355176,0.1393051,0.0194059,0.6538,0.7853,0.5526,0.1039,0.4319,8833,-0.0428,0.6023,0.3150872,0.0981839,0.0096401,0.3881,0.6023,0.3127,0.0166,0.2392,8813,-0.0548,0.6017,0.3668228,0.1144788,0.0131054,0.4657,0.6017,0.3788,-0.0089,0.2755
335,TONK,8831,-0.1967,0.7815,0.4659185,0.1664175,0.0276948,0.6149,0.7815,0.4619,-0.1171,0.3147,2016,Rabi       ,51468,160971,3.127593845,8822,-0.2,0.7755,0.4715931,0.1608998,0.0258887,0.613975,0.7755,0.46995,-0.0981,0.3281,8831,-0.0337,0.5931,0.3034454,0.1198944,0.0143747,0.4098,0.5931,0.2958,-0.0337,0.1949,8822,-0.0199,0.6381,0.3295217,0.1306066,0.0170581,0.4396,0.6381,0.31935,-0.0199,0.2134
337,TONK,8842,-0.1914,0.8041,0.4813257,0.1373685,0.0188701,0.5829,0.8041,0.4901,0.0696,0.3772,2017,Rabi       ,69184,250843,3.625737165,8819,-0.1949,0.8267,0.5440893,0.1502727,0.0225819,0.67325,0.8267,0.566,0.0677,0.4285,8842,-0.0315,0.6718,0.3127724,0.1032872,0.0106682,0.3829,0.6068,0.3111,0.0086,0.2329,8819,-0.0442,0.6198,0.3673337,0.1167033,0.0136197,0.46615,0.6198,0.3769,-0.0158,0.27245
339,TONK,8849,-0.1561,0.7714,0.4032246,0.1319282,0.0174051,0.5012,0.7714,0.3792,-0.0058,0.295,2018,Rabi       ,45842,152773,3.332598927,8845,-0.1937,0.7987,0.4569279,0.146004,0.0213172,0.5718,0.7987,0.4411,-0.0152,0.3359,8849,-0.0229,0.576,0.2687504,0.0987968,0.0097608,0.3397,0.5655,0.2487,-0.0229,0.1882,8845,-0.0179,0.6208,0.3025695,0.1117738,0.0124934,0.3841,0.6208,0.2854,-0.0179,0.2104
341,TONK,8849,-0.1783,0.7821,0.4587662,0.1254975,0.0157496,0.556,0.7821,0.4411,0.0682,0.3592,2019,Rabi       ,40139,143883,3.584618451,8849,-0.1361,0.7731,0.4988309,0.1258255,0.0158321,0.6028,0.7731,0.4888,0.1133,0.3993,8849,-0.0341,0.6436,0.3228255,0.1018192,0.0103671,0.3975,0.6269,0.3025,0.0185,0.2435,8849,-0.0238,0.6308,0.3336487,0.103948,0.0108052,0.4117,0.6308,0.3149,0.0117,0.2513
343,UDAIPUR,15380,-0.026,0.6011,0.2541746,0.0453266,0.0020545,0.2796,0.3661,0.2455,0.1433,0.2219,2001,Rabi       ,17488,38009,2.173433211,15380,-0.1836,0.6264,0.2802205,0.0555325,0.0030839,0.3101,0.4135,0.2689,0.1461,0.2411,15380,-0.0054,0.4311,0.1557505,0.0274246,0.0007521,0.1691,0.2151,0.1513,0.0931,0.1384,15380,-0.0342,0.4163,0.1656114,0.0311216,0.0009686,0.1808,0.234,0.16055,0.0923,0.1453
345,UDAIPUR,15380,-0.0239,0.6967,0.2899021,0.0655546,0.0042974,0.3169,0.4223,0.2764,0.142,0.2466,2002,Rabi       ,38959,97378,2.499499474,15380,-0.1305,0.7224,0.3114649,0.0719259,0.0051733,0.341925,0.4598,0.2955,0.1454,0.2633,15380,-0.0035,0.51,0.1757442,0.0424875,0.0018052,0.1905,0.2493,0.1685,0.0935,0.1511,15380,-0.0245,0.464,0.1832219,0.0411427,0.0016927,0.2006,0.2652,0.1759,0.0943,0.1575
347,UDAIPUR,15379,-0.1447,0.6607,0.249656,0.0505291,0.0025532,0.27815,0.3733,0.2394,0.1215,0.2146,2003,Rabi       ,16935,38743,2.287747269,15380,-0.1281,0.6214,0.2771664,0.0499851,0.0024985,0.306,0.4026,0.2672,0.1484,0.2416,15379,-0.0294,0.4493,0.1447193,0.0293001,0.0008585,0.1577,0.2037,0.1408,0.0813,0.127,15380,-0.0323,0.4129,0.1577661,0.0285069,0.0008126,0.171,0.2176,0.1535,0.0935,0.1399
349,UDAIPUR,15380,0.0136,0.7191,0.3055069,0.0764721,0.005848,0.3427,0.4816,0.2871,0.1206,0.2501,2004,Rabi       ,33804,82623,2.444178204,15379,0.0478,0.7042,0.3275274,0.0850163,0.0072278,0.3707,0.5303,0.3067,0.1157,0.2643,15380,0.004,0.4749,0.1831519,0.0430612,0.0018543,0.2022,0.2752,0.1734,0.0814,0.153475,15379,0.0111,0.4478,0.1944346,0.0454281,0.0020637,0.2174,0.301,0.1846,0.0804,0.1616
351,UDAIPUR,15380,-0.1414,0.7334,0.3159149,0.0719185,0.0051723,0.3462,0.4604,0.3014,0.1558,0.27,2005,Rabi       ,48549,160395,3.303775567,15378,-0.18,0.7111,0.3520334,0.0770675,0.0059394,0.3886,0.521,0.3383,0.1727,0.3003,15380,-0.0268,0.4996,0.1909949,0.0458692,0.002104,0.208,0.2747,0.1828,0.0971,0.1635,15378,-0.0341,0.4776,0.2036949,0.0455449,0.0020743,0.2265,0.3042,0.1968,0.0989,0.1747
353,UDAIPUR,15380,-0.1567,0.719,0.331714,0.0743806,0.0055325,0.3643,0.4856,0.3168,0.1671,0.2834,2006,Rabi       ,67990,148568,2.185144874,15376,-0.1981,0.773,0.3705382,0.0838862,0.0070369,0.4129,0.5617,0.3558,0.1671,0.313475,15380,-0.0209,0.5079,0.2031754,0.0481999,0.0023232,0.224025,0.2993,0.1938,0.099,0.1738,15376,-0.0302,0.4915,0.2218981,0.0493719,0.0024376,0.247425,0.3333,0.2144,0.1053,0.1901
355,UDAIPUR,15375,-0.1833,0.7744,0.3675025,0.0893257,0.0079791,0.41115,0.5703,0.3492,0.146,0.30495,2007,Rabi       ,88904,217207,2.443163412,15375,-0.18,0.7851,0.3944284,0.0929238,0.0086348,0.4471,0.6256,0.3774,0.1504,0.3281,15375,-0.0398,0.542,0.2156757,0.0593788,0.0035258,0.2405,0.3347,0.2009,0.0844,0.1777,15375,-0.0371,0.5534,0.2294016,0.058285,0.0033971,0.2571,0.3561,0.2176,0.0952,0.191
357,UDAIPUR,15380,-0.1876,0.7593,0.3432022,0.0866285,0.0075045,0.3848,0.5388,0.3233,0.1437,0.2821,2008,Rabi       ,79367,184713,2.327327479,15380,-0.1291,0.7693,0.3648459,0.0875703,0.0076686,0.4072,0.5642,0.347,0.1524,0.3025,15380,-0.0299,0.5297,0.2137215,0.0583,0.0033989,0.239525,0.3361,0.1994,0.0809,0.1751,15380,-0.0225,0.5202,0.221151,0.0545263,0.0029731,0.2459,0.337,0.2106,0.0937,0.185
359,UDAIPUR,15380,-0.1615,0.7042,0.2967356,0.0670418,0.0044946,0.324125,0.4297,0.2833,0.1505,0.2537,2009,Rabi       ,41115,86645,2.107381734,15380,-0.1353,0.793,0.3481427,0.0813959,0.0066253,0.3872,0.5295,0.3302,0.153,0.2923,15380,-0.025,0.4894,0.1779573,0.0433904,0.0018827,0.192,0.2511,0.1699,0.0937,0.1526,15380,-0.0204,0.5635,0.2040148,0.0508888,0.0025897,0.2243,0.3038,0.1928,0.0938,0.1713
361,UDAIPUR,15380,-0.0603,0.7255,0.3011069,0.0640023,0.0040963,0.3276,0.4303,0.2873,0.1643,0.2591,2010,Rabi       ,32201,75366,2.34048632,15380,-0.1381,0.7811,0.3491322,0.0797101,0.0063537,0.3865,0.5243,0.3308,0.1636,0.2946,15380,-0.0078,0.4919,0.1794654,0.0403803,0.0016306,0.1932,0.2508,0.1714,0.1009,0.1548,15380,-0.018,0.5345,0.2037861,0.0511813,0.0026195,0.2243,0.3032,0.1928,0.094,0.1717
363,UDAIPUR,15380,-0.0858,0.7889,0.4046651,0.0964932,0.0093109,0.462,0.6532,0.3872,0.1472,0.3344,2011,Rabi       ,55118,131966,2.394245074,15380,-0.1842,0.7613,0.4483724,0.0965255,0.0093172,0.5074,0.7019,0.4374,0.187,0.3777,15380,-0.0088,0.5655,0.2337359,0.0671045,0.004503,0.2673,0.387,0.2179,0.0694,0.1875,15380,-0.0135,0.5217,0.2413734,0.0579866,0.0033624,0.275,0.3861,0.2321,0.0916,0.2009
365,UDAIPUR,15380,-0.1336,0.7699,0.3721224,0.08539,0.0072914,0.4137,0.564,0.3538,0.1672,0.3135,2012,Rabi       ,71948,201479,2.800341914,15380,-0.1806,0.7151,0.4026294,0.0845369,0.0071465,0.449,0.6051,0.3892,0.1947,0.3448,15380,-0.0177,0.5451,0.2361865,0.0587799,0.0034551,0.2645,0.3647,0.2216,0.0993,0.1977,15380,-0.0239,0.4751,0.2406697,0.050754,0.002576,0.2679,0.3585,0.2324,0.1177,0.2075
367,UDAIPUR,15379,-0.1954,0.7705,0.3866403,0.088001,0.0077442,0.4323,0.5935,0.3688,0.1648,0.3248,2013,Rabi       ,72678,178517,2.456272875,15379,-0.1954,0.7144,0.3925383,0.0823864,0.0067875,0.4412,0.6013,0.3784,0.1751,0.33445,15379,-0.028,0.5703,0.2417673,0.0642804,0.004132,0.2682,0.37,0.2269,0.0991,0.2003,15379,-0.028,0.5034,0.2368116,0.0479492,0.0022991,0.2648,0.3536,0.2303,0.1171,0.2056
369,UDAIPUR,15380,0.0041,0.8173,0.4241523,0.1014135,0.0102847,0.4832,0.6848,0.4048,0.1506,0.3488,2014,Rabi       ,70717,200803,2.839529392,15380,-0.0868,0.8332,0.4472019,0.0957627,0.0091705,0.5058,0.6977,0.4306,0.1911,0.3775,15380,0.0005,0.621,0.2435522,0.0799096,0.0063855,0.2772,0.4093,0.2218,0.0648,0.1891,15380,-0.012,0.5633,0.2492797,0.0609058,0.0037095,0.2783,0.3826,0.2369,0.1118,0.2087
371,UDAIPUR,15380,-0.0918,0.8187,0.3895829,0.0979201,0.0095883,0.437825,0.6117,0.3687,0.157,0.3216,2015,Rabi       ,76849,193315,2.515517443,15380,-0.1712,0.786,0.4187579,0.0922692,0.0085136,0.4688,0.6416,0.4012,0.182,0.3536,15380,-0.0129,0.5803,0.2306882,0.0680289,0.0046279,0.2593,0.3692,0.2128,0.0765,0.186,15380,-0.0232,0.5464,0.2393535,0.0577889,0.0033396,0.2672,0.3659,0.2276,0.1035,0.2014
373,UDAIPUR,15380,-0.1829,0.8077,0.3661561,0.0929966,0.0086484,0.4079,0.5663,0.34595,0.1642,0.3023,2016,Rabi       ,74822,210840,2.817887787,15376,-0.1796,0.802,0.384406,0.0892052,0.0079576,0.429125,0.5906,0.3672,0.1648,0.3213,15380,-0.0252,0.5567,0.2217823,0.0609281,0.0037122,0.2474,0.3455,0.2072,0.0851,0.182,15376,-0.0234,0.5567,0.2317174,0.0564431,0.0031858,0.2596,0.3577,0.2208,0.0969,0.1942
375,UDAIPUR,15380,-0.1488,0.8181,0.4003923,0.1028857,0.0105855,0.454925,0.6457,0.3762,0.1408,0.3273,2017,Rabi       ,80410,250975,3.121191394,15375,-0.2,0.8272,0.4399373,0.1007622,0.010153,0.4989,0.6964,0.4226,0.1708,0.3666,15380,-0.0177,0.5772,0.2376126,0.0700358,0.004905,0.2685,0.385,0.2173,0.0756,0.1907,15375,-0.0205,0.5469,0.2499524,0.0662482,0.0043888,0.2807,0.3933,0.235,0.0947,0.2056
377,UDAIPUR,15380,-0.1313,0.7941,0.3778334,0.0943956,0.0089105,0.423825,0.5902,0.3554,0.1492,0.3127,2018,Rabi       ,80937,229859,2.839974301,15380,-0.1853,0.8179,0.4340866,0.0997058,0.0099413,0.4941,0.6928,0.4178,0.1755,0.3616,15380,-0.0152,0.5592,0.225852,0.0641671,0.0041174,0.2556,0.3649,0.208,0.0774,0.1827,15380,-0.0182,0.5614,0.2511765,0.0642793,0.0041318,0.2857,0.4042,0.2395,0.0884,0.2066
379,UDAIPUR,15380,-0.1332,0.8154,0.3741433,0.0929139,0.008633,0.4101,0.556,0.3498,0.1777,0.3127,2019,Rabi       ,74793,217764,2.911555894,15380,-0.1227,0.7792,0.3886904,0.0848361,0.0071972,0.4298,0.5774,0.3705,0.1902,0.3314,15380,-0.0195,0.5816,0.2224454,0.0667958,0.0044617,0.243725,0.3378,0.2035,0.0871,0.181,15380,-0.0168,0.5729,0.2208428,0.0513631,0.0026382,0.2438,0.3267,0.2107,0.1065,0.1885
381,AJMER,10552,0.056,0.6957,0.2326298,0.0607606,0.0036919,0.2473,0.3227,0.2183,0.1218,0.197,2001,Rabi       ,34280,41829,1.220215869,10552,0.0281,0.7074,0.2454369,0.0615421,0.0037874,0.264,0.3478,0.2317,0.1253,0.2081,10552,0.0483,0.5323,0.1517493,0.0424866,0.0018051,0.161,0.2113,0.1411,0.0778,0.127375,10552,0.023,0.5256,0.1570831,0.0413023,0.0017059,0.1685,0.2232,0.1478,0.0811,0.132
