,January,February,District,Year,Oct_District,October,Oct_Year,November,December
58,0.2518461,0.2457386,BANSWARA,2012,BANSWARA,0.3687878,2012,0.2276688,0.2021818
59,0.2392667,0.2582789,BANSWARA,2013,BANSWARA,0.3458756,2013,0.2502511,0.2180331
60,0.2690321,0.2897755,BANSWARA,2014,BANSWARA,0.298238,2014,0.2204682,0.2119047
61,0.2474572,0.2463806,BANSWARA,2015,BANSWARA,0.2659247,2015,0.2065784,0.2048817
62,0.2326707,0.2342946,BANSWARA,2016,BANSWARA,0.3694551,2016,0.2374747,0.2167259
63,0.2687456,0.2580124,BANSWARA,2017,BANSWARA,0.3101578,2017,0.2232097,0.2294977
64,0.2759136,0.2507643,BANSWARA,2018,BANSWARA,0.3720118,2018,0.2353049,0.2243462
65,0.254162,0.280334,BANSWARA,2019,BANSWARA,0.3741378,2019,0.2679605,0.2495835
66,0.3381741,0.37618,BHARATPUR,2001,BHARATPUR,0.1603208,2001,0.150537,0.2497666
67,0.3563747,0.406803,BHARATPUR,2002,BHARATPUR,0.1819197,2002,0.1872141,0.3099549
68,0.3556209,0.3798354,BHARATPUR,2003,BHARATPUR,0.1912174,2003,0.2057748,0.3146639
69,0.3918619,0.3746261,BHARATPUR,2004,BHARATPUR,0.1790807,2004,0.1751212,0.3933632
70,0.419435,0.3970025,BHARATPUR,2005,BHARATPUR,0.1911241,2005,0.2174558,0.3007522
71,0.3926817,0.3695733,BHARATPUR,2006,BHARATPUR,0.1523262,2006,0.1786598,0.2874902
72,0.3675414,0.3801687,BHARATPUR,2007,BHARATPUR,0.1642108,2007,0.146257,0.2875164
73,0.3581146,0.3908989,BHARATPUR,2008,BHARATPUR,0.172286,2008,0.2649814,0.3469553
74,0.41178,0.3501864,BHARATPUR,2009,BHARATPUR,0.1783226,2009,0.226881,0.354084
75,0.4375456,0.3839493,BHARATPUR,2010,BHARATPUR,0.2138374,2010,0.2140515,0.348986
76,0.4375456,0.3839493,BHARATPUR,2010,BHARATPUR,0.2138374,2010,0.2140515,0.348986
77,0.4375456,0.3839493,BHARATPUR,2010,BHARATPUR,0.2138374,2010,0.2140515,0.348986
78,0.4375456,0.3839493,BHARATPUR,2010,BHARATPUR,0.2138374,2010,0.2140515,0.348986
79,0.4090742,0.4600094,BHARATPUR,2011,BHARATPUR,0.1916176,2011,0.2153143,0.3251099
