,Train_y,Train_DT,Train_RF,Train_NL,Train_SVR,Train_ANN
375,1.684189775,2.0276811368000005,1.9670171522233266,1.9771664030685914,1.9703497331862563,2.0064225
154,3.162860092,3.448789507945947,3.2792013288527766,3.228038029769621,3.2205498616185304,2.8868623
333,2.742156787,2.385072083983333,2.3039515921681106,2.72529661084803,2.54425978592345,2.6939642
373,3.320369402,3.114966246736842,3.2047599443744823,3.22498922311547,3.367838955181374,2.9341605
286,2.8663571,2.385072083983333,2.845335073261654,2.933242022623782,2.933387468078645,2.7187526
295,4.228811838,3.91633449284,4.033395912351299,4.2439715062498315,4.1955892868123765,3.4899604
208,2.7930642910000003,2.385072083983333,2.506905053106398,2.2752389403450897,2.317832336247238,2.5870912
386,2.714554142,2.939395094599999,2.634847930187095,2.656556656618255,2.6547974277967255,2.728329
177,1.834980237,2.385072083983333,2.115084849675738,1.8934189425707268,1.9122590378924675,1.890837
401,2.501679507,2.385072083983333,2.3900782370083884,2.626623038001057,2.5526196228729736,2.3292131
165,3.5996102039999998,3.448789507945947,3.6382129993741197,3.503830295993259,3.6267977776473668,3.0627878
166,3.8136187039999996,3.448789507945947,3.775517755892982,3.5736404503498065,3.807184376676867,3.1743805
104,2.9503052210000003,2.7637583988,2.759129980269326,2.5401336442496465,3.018830830296163,2.7343736
391,2.89663814,2.385072083983333,2.491156506096308,2.618922262239277,2.797127718261648,2.8510242
195,3.5617256719999997,3.91633449284,3.563119697906642,3.519497485364276,3.6121776038472415,3.4805405
135,2.7939663439999998,2.385072083983333,2.3964756784509342,2.4315812792377898,2.3185221166437726,2.5992744
274,4.2460684980000005,3.448789507945947,3.7946971835488665,4.068364779367439,4.112578389637058,3.1824834
202,4.168860917,3.91633449284,3.9688660101294486,4.084409450765609,4.217838168591844,4.4065056
305,2.699965226,2.385072083983333,2.3830207926724314,2.442058357089018,2.763873378416476,2.5023406
73,4.44757959,4.387836045777778,4.247194100917535,4.252323605985493,4.4218804119084085,3.6814787
40,1.480886819,2.385072083983333,1.8187152014488275,1.7813301970438316,1.4794243006687742,1.8554227
425,2.456272875,2.385072083983333,2.6056526843444505,2.7501120542530844,2.497534218067517,2.3322864
268,3.277459595,2.939395094599999,3.10160364832627,3.02269323161004,3.2345269432046804,2.865423
415,2.287747269,2.385072083983333,2.354427110744513,2.184993247267456,2.2139823179626594,2.2203445
175,1.61175678,2.385072083983333,2.0216670201941187,1.9064502871335565,1.7572378913910098,1.8966751
403,2.673270551,2.385072083983333,2.571663050408881,2.7567705920312937,2.6441828180918128,2.7264924
69,4.363411087,3.91633449284,4.113414239100547,4.058348141047437,4.313065290368433,3.5503476
251,2.0225954280000003,2.385072083983333,2.182599080363287,2.1290970045728113,2.0935597208023777,2.2865036
407,3.423890715,2.939395094599999,3.112505814744028,3.1252174734809675,3.4030264093523455,3.0304894
32,3.964074042,3.91633449284,4.041611969015606,4.149023225293536,3.999235575315179,3.646612
3,1.95531373,2.385072083983333,2.229281520393275,2.160147808407962,2.069991617169406,2.123136
13,3.447732143,2.939395094599999,3.2188313818034393,3.10890597571294,3.4079003790981366,3.0287168
186,2.081190942,2.385072083983333,2.206834012208833,2.1456540998451405,2.1297418577219664,2.2062538
70,4.306820086,3.91633449284,4.158892805530338,4.337179367340694,4.297292517746346,3.5793095
289,3.634388297,3.114966246736842,3.5306748226597713,3.338807590843242,3.6347777898077167,2.9520023
318,2.543518761,2.385072083983333,2.328522508039231,2.5746502120685397,2.601648769174097,2.368374
420,2.327327479,2.385072083983333,2.268357247872423,2.4978200928185768,2.3290535002522814,2.1409626
298,3.904364554,3.448789507945947,3.811757445808616,3.7947370204444404,3.9150082733738083,3.246038
394,1.539416556,1.8024668081999997,2.19850892291534,2.290934704370362,1.3196685816238576,1.512533
194,3.1348271239999996,3.114966246736842,3.0316425906494286,3.229383209049846,3.144019415497493,3.271728
346,3.483942143,3.6259361452,3.2718356408811786,3.146554589109064,3.4650665416746795,3.0657523
374,3.8610003839999996,3.6259361452,3.5853550744850238,3.4912302949563756,3.81768243558301,3.0424738
253,1.967783909,2.385072083983333,2.1199106718485834,2.163179542075877,2.0354593359309012,1.9754153
225,1.802715047,1.427584135470588,1.8639886879178371,1.9608289974139996,2.042356319179574,1.404437
90,3.05980589,3.114966246736842,2.9942337643893233,2.908860378470763,3.119864343900365,2.8541825
299,4.398223214,4.387836045777778,4.280680434721521,4.127473599459686,4.3517693644057305,3.5869358
110,2.4973185019999997,2.4051002113333335,2.496045088872735,2.50302692883512,2.449148206548771,2.2606742
233,2.866320413,2.385072083983333,2.692678593398109,2.6933946427398476,2.9125319034790413,2.7448306
337,1.686058281,1.8024668081999997,2.332640990102111,2.2761066194956623,1.563559784307592,1.4817094
138,1.703423744,1.427584135470588,2.1743153306776586,2.1268735564134644,1.974414700516749,2.2111008
234,2.7830981130000003,2.385072083983333,2.576580889734745,2.7980726591451583,2.8378013235143404,2.7097442
308,2.1622329280000003,2.385072083983333,2.312757705091799,2.4095025538357806,2.132310477717712,1.9629365
406,3.419482265,3.448789507945947,3.3619776310446245,3.100576881915245,3.4154309722859475,3.0000894
